id_cliente,nome,email,cidade,estado
1,Ana Silva,ana@email.com,Florianópolis,SC
2,Bruno Costa,bruno@email.com,São Paulo,SP
3,Carla Mendes,carla@email.com,Curitiba,PR
4,Diego Lima,diego@email.com,Porto Alegre,RS
5,Eva Souza,eva@email.com,Belo Horizonte,MG
6,Ana Silva,ana@email.com,Florianópolis,SC
7,Bruno Costa,bruno@email.com,São Paulo,SP
8,Carla Mendes,carla@email.com,Curitiba,PR
9,Diego Lima,diego@email.com,Porto Alegre,RS
10,Eva Souza,eva@email.com,Belo Horizonte,MG
11,Ana Silva,ana@email.com,Florianópolis,SC
12,Bruno Costa,bruno@email.com,São Paulo,SP
13,Carla Mendes,carla@email.com,Curitiba,PR
14,Diego Lima,diego@email.com,Porto Alegre,RS
15,Eva Souza,eva@email.com,Belo Horizonte,MG
16,Ana Silva,ana@email.com,Florianópolis,SC
17,Bruno Costa,bruno@email.com,São Paulo,SP
18,Carla Mendes,carla@email.com,Curitiba,PR
19,Diego Lima,diego@email.com,Porto Alegre,RS
20,Eva Souza,eva@email.com,Belo Horizonte,MG
21,Ana Silva,ana@email.com,Florianópolis,SC
22,Bruno Costa,bruno@email.com,São Paulo,SP
23,Carla Mendes,carla@email.com,Curitiba,PR
24,Diego Lima,diego@email.com,Porto Alegre,RS
25,Eva Souza,eva@email.com,Belo Horizonte,MG
26,Ana Silva,ana@email.com,Florianópolis,SC
27,Bruno Costa,bruno@email.com,São Paulo,SP
28,Carla Mendes,carla@email.com,Curitiba,PR
29,Diego Lima,diego@email.com,Porto Alegre,RS
30,Eva Souza,eva@email.com,Belo Horizonte,MG
31,Ana Silva,ana@email.com,Florianópolis,SC
32,Bruno Costa,bruno@email.com,São Paulo,SP
33,Carla Mendes,carla@email.com,Curitiba,PR
34,Diego Lima,diego@email.com,Porto Alegre,RS
35,Eva Souza,eva@email.com,Belo Horizonte,MG
36,Ana Silva,ana@email.com,Florianópolis,SC
37,Bruno Costa,bruno@email.com,São Paulo,SP
38,Carla Mendes,carla@email.com,Curitiba,PR
39,Diego Lima,diego@email.com,Porto Alegre,RS
40,Eva Souza,eva@email.com,Belo Horizonte,MG
